id,lemma,pronunciation
2076,αἰδημοσύνη,
2078,Ἅιδης,
2080,Ἀί̈δης,
2083,ἀϊδιότης,
2086,αἰδοιολείκτης,
2087,αἰδοῖον,/ai̯.dói̯.on/
2091,Ἄϊδος,
2092,αἰδοσύνη,
2093,Ἁιδοφοίτης,
2094,αἰδοφοίτης,
2096,ἀϊδρείη,
2099,ἀϊδροδίκης,
2101,αἰδώ,
2102,Ἀϊδωνεύς,
2103,αἰδώς,/ai̯.dɔ̌ːs/
2105,αἰειγενέτης,
2107,αἰέλιοι,
2110,αἰές,
2113,αἰέτιον,
2115,αἰετός,
2117,αἰζήϊος,
2119,αἰζηός,
2120,αἰηνής,
2121,αἴητος,
2122,αἰητός,
2124,αἰθάλη,
2125,ἀϊθαλής,
2128,αἰθαλοκομπία,
2129,αἴθαλος,/aí̯.tʰa.los/
2132,αἰθάλωσις,
2134,αἴθε,
2135,ἀί̈θεος,
2137,αἰθεριβόσκας,
2139,αἰθερίτης,
2146,αἰθεροναία,
2151,Αἴθη,
2153,αἰθήρ,/ai̯.tʰɛ̌ːr/
2157,Αἰθίοψ,/ai̯.tʰí.ops/
2158,αἰθόλιξ,
2159,αἰθος,
2161,αἴθουσα,
2163,αἴθρανος,
2164,αἴθρη,
2166,αἰθρηγενέτης,
2168,αἰθρία,
2170,αἰθρίασις,
2172,αἰθρίδιον,
2177,αἰθροβάτης,
2182,αἶθρος,
2184,αἴθυγμα,
2185,αἴθυια,/aí̯.tʰyː.a/
2187,αἰθυκτήρ,
2190,αἴθων,/aí̯.tʰɔːn/
2192,αἰκάλη,
2194,αἰκάλος,
2195,αἴκε,
2196,αἰκείη,
2198,ἀϊκή,
2200,αἰκία,/ai̯.kí.aː/
2202,αἴκισμα,
2203,αἰκισμός,
2205,αἰκίστρια,
2206,αἶκλον,
2207,ἀϊκτήρ,
2209,αἴλινον,
2210,αἴλινος,
2211,αἶλος,
2212,αἰλούριος,
2213,αἰλουρίς,
2214,αἰλουροβοσκός,
2216,αἴλουρος,/aí̯.loː.ros/
2217,αἰλουροτάφος,
2219,αἷμα,/hái̯.ma/
2220,αἱμαγμός,
2222,αἱμακουρίαι,
2226,αἱμαλώδης,
2228,αἱμάλωψ,
2229,αἵμαξις,
2230,αἱμάροια,
2231,αἱμάς,
2232,αἱμασιά,
2237,αἱματεκχυσία,
2238,αἱμάτη,
2241,αἱματία,
2245,αἱμάτιον,
2246,αἱματίς,
2247,αἱματίτης,
2255,αἱματοποσία,
2257,αἱματοπώτης,
2263,αἱματοφλοιβοστάσιες,
2269,αἱμάτωσις,
2270,αἱματώψ,
2271,αἱμηπότης,
2273,αἰμίθεος,
2274,αἱμνίον,
2276,αἱμοβαφής,
2282,αἱμόδωρον,
2284,αἱμόκερχνον,
2285,αἱμοπότης,
2287,αἱμόπυον,
2288,αἱμοπώτης,
2292,αἱμορραγία,
2297,αἱμόρροια,
2298,αἱμορροϊδοκαύστης,
2300,αἱμορροί̈ς,
2304,αἱμόρρυσις,
2307,αἱμός,
2308,αἱμοσάτης,
2310,αἱμόστασις,
2311,αἱμοσταφίς,
2319,αἱμυλία,
2321,αἱμυλομήτης,
2327,αἱμωδία,
2328,αἱμωδιασμός,
2330,αἵμων,
2333,αἰναρέτης,
2334,Αἰνείας,/ai̯.něː.aːs/
